id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
545,Cam Whitmore,HOU,SF,20,51,9.4,3,1,0.6,0.3,1.8,16.2,15.5,3,0.444,0.75,0.9
546,Aaron Wiggins,OKC,SG,26,76,12,3.9,1.8,0.8,0.2,5.4,22.9,16.1,26,0.488,0.831,0.9
547,Andrew Wiggins,2TM,SF,29,60,18,4.5,2.6,1,0.8,4,30.7,16.4,60,0.448,0.763,1.7
548,Alondes Williams,DET,SG,25,1,5,0,1,0,0,0,4,53.4,0,1,,0
549,Brandon Williams,DAL,PG,25,33,8.3,1.8,2.3,0.7,0.2,1.3,14.8,18.3,3,0.521,0.833,1.2
550,Cody Williams,UTA,SG,20,50,4.6,2.3,1.2,0.5,0.3,-1.2,21.2,3.7,21,0.323,0.725,0.9
551,Grant Williams,CHO,PF,26,16,10.4,5.1,2.3,1.1,0.8,0.7,29.9,11.5,7,0.439,0.838,1.8
552,Jalen Williams,OKC,SG,23,69,21.6,5.3,5.1,1.6,0.7,7.8,32.4,20.3,69,0.484,0.789,2.2
553,Jaylin Williams,OKC,PF,22,47,5.9,5.6,2.6,0.5,0.6,3.3,16.7,16.4,9,0.439,0.767,0.7
554,Jeenathan Williams,HOU,SG,25,20,3.3,0.7,0.5,0.4,0.2,0,7.4,8.6,0,0.435,0.625,0.7
555,Kenrich Williams,OKC,PF,30,69,6.3,3.5,1.4,0.6,0.1,3.6,16.4,13.7,7,0.483,0.718,0.6
556,Mark Williams,CHO,C,23,44,15.3,10.2,2.5,0.7,1.2,4.7,26.6,23.9,41,0.604,0.804,1.6
557,Patrick Williams,CHI,PF,23,63,9,3.8,2,0.8,0.5,0.4,25,9,36,0.397,0.723,1.4
558,Robert Williams,POR,C,27,20,5.8,5.9,1.1,0.7,1.7,1.3,17.6,18.9,3,0.641,0.882,0.9
559,Vince Williams Jr.,MEM,SG,24,27,6.6,3.6,2,0.4,0.3,0.4,18.5,9.2,5,0.401,0.792,1.2
560,Ziaire Williams,BRK,SF,23,63,10,4.6,1.3,1,0.4,2.1,24.5,11.9,45,0.412,0.821,1.1
561,Zion Williamson,NOP,PF,24,30,24.6,7.2,5.3,1.2,0.9,2.5,28.6,27.3,30,0.567,0.656,3
562,Jalen Wilson,BRK,PF,24,79,9.5,3.4,1.8,0.5,0.1,1.9,25.7,9.5,22,0.397,0.818,1
563,James Wiseman,IND,C,23,1,6,1,0,0,0,0,5,31.2,0,0.5,1,0
564,Isaiah Wong,CHO,SG,24,20,6,1.6,1.4,0.6,0,0.1,13.3,10.9,0,0.39,0.735,0.9
565,Delon Wright,2TM,PG,32,40,3.1,1.7,1.9,0.9,0.3,0.7,15.9,9.2,7,0.344,0.6,0.6
566,Guerschon Yabusele,PHI,C,29,70,11,5.6,2.1,0.8,0.3,3.9,27.1,14.7,43,0.501,0.725,1.2
567,Jahmir Young,CHI,PG,24,6,1.8,0.5,1,0,0,0.1,5,16.8,0,0.8,1,0.2
568,Trae Young,ATL,PG,26,76,24.2,3.1,11.6,1.2,0.2,5.7,36,18.3,76,0.411,0.875,4.7
569,Ivica Zubac,LAC,C,27,80,16.8,12.6,2.7,0.7,1.1,11.7,32.8,22.3,80,0.628,0.661,1.6
