id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
210,Buddy Hield,GSW,SG,32,82,11.1,3.2,1.6,0.8,0.3,2.8,22.7,12.3,22,0.417,0.828,1.1
211,Haywood Highsmith,MIA,SF,28,74,6.5,3.4,1.5,0.9,0.5,3.3,24.6,9.9,42,0.458,0.721,0.7
212,Aaron Holiday,HOU,PG,28,62,5.5,1.3,1.3,0.3,0.2,2,12.8,12.2,3,0.437,0.829,0.6
213,Jrue Holiday,BOS,PG,34,62,11.1,4.3,3.9,1.1,0.4,5.1,30.6,13.5,62,0.443,0.909,1.2
214,Ron Holland,DET,SF,19,81,6.4,2.7,1,0.6,0.2,1.8,15.6,11.1,2,0.474,0.754,0.9
215,Richaun Holmes,WAS,PF,31,31,7.4,5.7,1.4,0.3,0.7,2,17.2,19.8,7,0.647,0.833,0.7
216,Chet Holmgren,OKC,C,22,32,15,8,2,0.7,2.2,3.2,27.4,19.2,32,0.49,0.754,1.8
217,Jalen Hood-Schifino,2TM,SG,21,15,7.1,1.8,2.5,0.3,0.5,-0.1,21,7.9,0,0.378,0.857,1.2
218,Al Horford,BOS,C,38,60,9,6.2,2.1,0.6,0.9,4.4,27.7,12.9,42,0.423,0.895,0.8
219,Talen Horton-Tucker,CHI,SG,24,58,6.5,1.7,1.4,0.4,0.2,1.1,12.5,13.8,0,0.457,0.735,0.7
220,Caleb Houstan,ORL,SF,22,58,4.1,1.3,0.6,0.4,0.1,1.8,13.6,9.4,6,0.421,0.882,0.2
221,Jett Howard,ORL,SF,21,60,4.5,1.2,0.7,0.2,0.2,0.1,11.7,7.1,0,0.374,0.696,0.6
222,Kevin Huerter,2TM,SG,26,69,9.9,3,2.3,1,0.3,1.9,24.3,11.3,31,0.425,0.714,1
223,Jay Huff,MEM,C,26,64,6.9,2,0.6,0.3,0.9,2.5,11.7,18.2,2,0.515,0.786,0.5
224,Ariel Hukporti,NYK,C,22,25,1.9,2,0.4,0,0.6,0.1,8.7,7.6,1,0.677,0.462,0.8
225,De'Andre Hunter,2TM,SF,27,64,17,4,1.4,0.8,0.2,4.4,27.2,15.9,9,0.47,0.846,1.3
226,Bones Hyland,2TM,PG,24,24,6.2,1,1.3,0.8,0.2,0.5,10,16,0,0.398,0.885,1
227,Oso Ighodaro,PHO,PF,22,61,4.2,3.6,1.2,0.5,0.5,1.6,17.1,11.1,6,0.604,0.58,0.6
228,Joe Ingles,MIN,SF,37,19,0.8,0.6,1.2,0.1,0,-0.1,6,2.4,1,0.261,,0.5
229,Brandon Ingram,NOP,SF,27,18,22.2,5.6,5.2,0.9,0.6,0,33.1,16,18,0.465,0.855,3.8
